epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8478,1.95536,3.86592,1.0978,0.18582,0.51254,0.13855,0.04484,2.52008,6.1516,0.9544,0.0001125,0.0001125,0.0001125
2,21.2185,1.53682,2.17751,0.93428,0.35149,0.42648,0.3187,0.18773,1.51417,4.68149,0.82596,0.000223619,0.000223619,0.000223619
3,31.2905,1.43084,1.7545,0.90776,0.3519,0.66222,0.47273,0.19393,2.12914,2.09042,0.88885,0.0003269,0.0003269,0.0003269
4,41.246,1.29942,1.5083,0.88574,0.41307,0.7252,0.57919,0.31104,1.66735,1.64131,0.83611,0.000422344,0.000422344,0.000422344
5,51.1435,1.25484,1.32224,0.88383,0.60129,0.72582,0.68846,0.36613,1.68194,1.52746,0.8477,0.00050995,0.00050995,0.00050995
6,61.0703,1.28247,1.243,0.88378,0.67359,0.75311,0.73615,0.37793,1.71218,1.30176,0.84563,0.000521875,0.000521875,0.000521875
7,70.9881,1.23391,1.14425,0.87148,0.75072,0.67812,0.7627,0.50063,1.18432,1.15318,0.80242,0.00050125,0.00050125,0.00050125
8,80.744,1.19528,1.04941,0.86748,0.77148,0.77614,0.82379,0.47367,1.43994,1.08017,0.82042,0.000480625,0.000480625,0.000480625
9,90.6695,1.21982,1.00749,0.86939,0.7537,0.74393,0.77874,0.46142,1.40745,1.14191,0.81762,0.00046,0.00046,0.00046
10,100.449,1.15423,0.91616,0.858,0.79663,0.74701,0.81067,0.40322,1.80528,1.08224,0.84543,0.000439375,0.000439375,0.000439375
11,110.121,1.18863,0.91648,0.86357,0.78449,0.7686,0.82972,0.52954,1.29087,1.04251,0.80423,0.00041875,0.00041875,0.00041875
12,120.05,1.1224,0.89241,0.85369,0.80494,0.76934,0.81639,0.57329,1.04867,0.97546,0.78972,0.000398125,0.000398125,0.000398125
13,129.852,1.13728,0.85906,0.85846,0.85012,0.76586,0.84607,0.38468,1.91825,1.06489,0.85509,0.0003775,0.0003775,0.0003775
14,139.783,1.15868,0.85784,0.85789,0.8537,0.75526,0.85476,0.60171,1.08058,0.94006,0.79253,0.000356875,0.000356875,0.000356875
15,149.612,1.13724,0.81932,0.85369,0.80005,0.76826,0.8334,0.60916,0.96487,0.96887,0.78839,0.00033625,0.00033625,0.00033625
16,159.515,1.12309,0.85543,0.85583,0.80543,0.80108,0.8272,0.5884,1.02134,0.94251,0.78658,0.000315625,0.000315625,0.000315625
17,169.293,1.05614,0.78308,0.84427,0.7799,0.8133,0.83372,0.62945,0.88303,0.90272,0.77923,0.000295,0.000295,0.000295
18,179.231,1.06155,0.77616,0.84293,0.81152,0.80746,0.8448,0.65797,0.84587,0.88631,0.77851,0.000274375,0.000274375,0.000274375
19,189.084,1.01481,0.73987,0.84662,0.84279,0.8187,0.86022,0.62876,0.97862,0.82639,0.78244,0.00025375,0.00025375,0.00025375
20,198.96,1.07383,0.76196,0.85492,0.8592,0.77713,0.85035,0.59015,1.07328,0.93747,0.79186,0.000233125,0.000233125,0.000233125
21,208.543,0.94963,0.67915,0.83967,0.85089,0.8039,0.85671,0.66938,0.84368,0.85481,0.77635,0.0002125,0.0002125,0.0002125
22,218.288,0.92664,0.65365,0.84283,0.81612,0.81696,0.8493,0.65825,0.85166,0.84411,0.77619,0.000191875,0.000191875,0.000191875
23,227.786,0.93601,0.63702,0.84408,0.83428,0.78266,0.85289,0.69733,0.73992,0.80557,0.76972,0.00017125,0.00017125,0.00017125
24,237.332,0.92079,0.61582,0.83565,0.83429,0.78656,0.85199,0.68759,0.75988,0.82246,0.77008,0.000150625,0.000150625,0.000150625
25,247.049,0.9053,0.61239,0.83655,0.79498,0.78747,0.84155,0.68594,0.7428,0.87188,0.7722,0.00013,0.00013,0.00013
26,256.754,0.88809,0.59822,0.83278,0.82666,0.75834,0.83134,0.67151,0.74471,0.91763,0.77081,0.000109375,0.000109375,0.000109375
27,266.267,0.90021,0.58514,0.83692,0.82334,0.77869,0.83695,0.66261,0.79545,0.88353,0.7709,8.875e-05,8.875e-05,8.875e-05
28,275.952,0.88247,0.58123,0.82738,0.79276,0.79422,0.84235,0.65667,0.82785,0.86595,0.77133,6.8125e-05,6.8125e-05,6.8125e-05
29,285.713,0.89804,0.57087,0.83714,0.79239,0.80065,0.84207,0.67307,0.75899,0.86931,0.77046,4.75e-05,4.75e-05,4.75e-05
30,295.513,0.82722,0.55811,0.82116,0.80055,0.80065,0.84294,0.6898,0.71151,0.85104,0.76963,2.6875e-05,2.6875e-05,2.6875e-05
